module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
PULSE,bmad-pulse-track-start,Track Start,TS,"Record start of story implementation",track-start,"[story_id]",anytime,,,false,pulse_data_folder,"pulse_metrics entry"
PULSE,bmad-pulse-track-done,Track Done,TD,"Record completion and calculate metrics",track-done,"[story_id]",anytime,bmad-pulse-track-start:track-start,,false,pulse_data_folder,"leverage_ratio first_pass process_health"
PULSE,bmad-pulse-track-backfill,Track Backfill,TB,"Retroactively record HI/HF and metrics for an unmeasured story",track-backfill,"[story_id] --hi <ts> --hf <ts>",anytime,,,false,pulse_data_folder,"retroactive pulse_metrics entry"
PULSE,bmad-pulse-dashboard,Dashboard,PD,"Generate cumulative efficiency dashboard",dashboard,"",anytime,bmad-pulse-track-done:track-done,,false,pulse_dashboard_folder,"dashboard markdown"
PULSE,bmad-bcp-rule-card,Rule Card,RC,"Display the canonical BCP complexity ruler (10 elements × 5 sizes)",rule-card,"[element]",anytime,,,false,,"rendered ruler + MIT attribution"
PULSE,bmad-bcp-score,BCP Score,BS,"Score a story with BCP and derive estimated_hours",bcp-score,"[story-path]",anytime,,bmad-pulse-track-start:track-start,false,,"bcp.* frontmatter block + derived estimated_hours"
PULSE,bmad-bcp-score-batch,BCP Score Batch,SB,"Score several existing stories in batch (retroactive)",bcp-score-batch,"[glob]",anytime,,bmad-bcp-recalibrate:bcp-recalibrate,false,,"bcp.* on each scored story"
PULSE,bmad-bcp-rescore,BCP Rescore,RS,"Re-score a story after a scope change (review mandatory)",bcp-rescore,"[story-path]",anytime,bmad-bcp-score:bcp-score,,false,,"updated bcp.* + archived bcp.history entry"
PULSE,bmad-bcp-recalibrate,BCP Recalibrate,RE,"Recalibrate the baseline per category from real hours",bcp-recalibrate,"[story-path]",anytime,bmad-pulse-track-done:track-done,,false,,"updated bcp-baseline.yaml"
PULSE,bmad-bcp-backfill-baseline,BCP Backfill Baseline,BB,"Leave the cold start using the squad's delivered history",bcp-backfill-baseline,"[glob]",anytime,,,false,,"calibrated bcp-baseline.yaml"
